CodeInsee;CodeDepartement;pays;Commune;Macron PCT;MACRON;LE PEN;MÉLENCHON;MACRON;exp;LE PEN;exp;MÉLENCHON;exp
73326;73;France;Vimines;30;91655267;452;324;229;30;91655267;22;16142271;15;66347469
73327;73;France;Vions;20;74688797;50;64;38;20;74688797;26;5560166;15;76763485
73328;73;France;Viviers-du-Lac;34;14826498;433;249;205;34;14826498;19;63722397;16;16719243
73329;73;France;Voglans;32;93903549;362;282;183;32;93903549;25;65969063;16;65150136
73330;73;France;Yenne;26;247798;447;487;289;26;247798;28;59659425;16;97005285
74001;74;France;Abondance;25;215;256;83;25;29;76744186;9;651162791
74002;74;France;Alby-sur-Chéran;23;94160584;328;345;287;23;94160584;25;18248175;20;94890511
74003;74;France;Alex;36;80241327;244;89;120;36;80241327;13;42383107;18;09954751
74004;74;France;Allèves;21;01167315;54;59;61;21;01167315;22;95719844;23;73540856
74005;74;France;Allinges;29;52212389;834;662;428;29;52212389;23;43362832;15;15044248
74006;74;France;Allonzier-la-Caille;27;62790698;297;256;175;27;62790698;23;81395349;16;27906977
74007;74;France;Amancy;29;48548813;447;361;257;29;48548813;23;81266491;16;9525066
74008;74;France;Ambilly;29;23633077;647;368;572;29;23633077;16;62901039;25;84726615
74009;74;France;Andilly;34;45065177;185;77;78;34;45065177;14;33891993;14;52513966
74010;74;France;Annecy;33;37735226;21231;9554;13501;33;37735226;15;01988712;21;22498389
74012;74;France;Annemasse;26;0792209;2785;1764;3615;26;0792209;16;5184006;33;85148422
74013;74;France;Anthy-sur-Léman;36;81693989;539;236;178;36;81693989;16;12021858;12;15846995
74014;74;France;Arâches-la-Frasse;33;87096774;399;188;211;33;87096774;15;95925297;17;91171477
74015;74;France;Arbusigny;22;00598802;147;194;120;22;00598802;29;04191617;17;96407186
74016;74;France;Archamps;38;68995633;443;187;154;38;68995633;16;33187773;13;44978166
74018;74;France;Arenthon;27;94376098;318;328;164;27;94376098;28;82249561;14;4112478
74019;74;France;Argonay;35;18918919;651;342;291;35;18918919;18;48648649;15;72972973
74020;74;France;Armoy;33;3683106;318;163;129;33;3683106;17;10388248;13;53620147
74021;74;France;Arthaz-Pont-Notre-Dame;25;75928009;229;282;113;25;75928009;31;72103487;12;71091114
74024;74;France;Ayse;30;37313433;407;310;206;30;37313433;23;13432836;15;37313433
74025;74;France;Ballaison;34;3980344;280;176;112;34;3980344;21;62162162;13;75921376
74026;74;France;La Balme-de-Sillingy;30;34965035;868;748;411;30;34965035;26;15384615;14;37062937
74027;74;France;La Balme-de-Thuy;27;45762712;81;88;38;27;45762712;29;83050847;12;88135593
74029;74;France;Bassy;22;77992278;59;72;38;22;77992278;27;7992278;14;67181467
74030;74;France;La Baume;28;75816993;44;28;36;28;75816993;18;30065359;23;52941176
